,precision,recall,f1-score,support
391,0.3333333333333333,0.1,0.15384615384615383,20.0
392,0.0,0.0,0.0,26.0
393,0.875,0.4117647058823529,0.56,17.0
394,0.0,0.0,0.0,16.0
395,0.0,0.0,0.0,19.0
396,0.0,0.0,0.0,16.0
397,0.0,0.0,0.0,15.0
398,0.25,0.06666666666666667,0.10526315789473685,15.0
399,0.7272727272727273,0.5,0.5925925925925926,16.0
400,0.9230769230769231,0.631578947368421,0.7499999999999999,19.0
401,0.0,0.0,0.0,12.0
402,0.0,0.0,0.0,16.0
403,0.6842105263157895,0.6190476190476191,0.6500000000000001,21.0
404,0.0,0.0,0.0,14.0
405,0.8888888888888888,0.34782608695652173,0.5,23.0
406,0.0,0.0,0.0,23.0
407,0.65,0.7222222222222222,0.6842105263157895,18.0
408,0.6,0.5,0.5454545454545454,18.0
409,0.5555555555555556,0.5263157894736842,0.5405405405405405,19.0
410,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
411,0.0,0.0,0.0,18.0
412,0.631578947368421,0.75,0.6857142857142857,16.0
413,0.0,0.0,0.0,18.0
414,0.0,0.0,0.0,23.0
415,0.0,0.0,0.0,17.0
416,0.7142857142857143,0.29411764705882354,0.4166666666666667,17.0
417,0.6,0.17647058823529413,0.2727272727272727,17.0
418,0.0,0.0,0.0,20.0
419,1.0,0.1111111111111111,0.19999999999999998,27.0
420,0.0,0.0,0.0,19.0
421,0.0,0.0,0.0,15.0
422,0.0,0.0,0.0,18.0
423,0.0,0.0,0.0,14.0
424,0.85,0.9444444444444444,0.8947368421052632,18.0
425,0.5,0.047619047619047616,0.08695652173913042,21.0
426,0.0,0.0,0.0,18.0
427,0.0,0.0,0.0,26.0
428,0.3333333333333333,0.11764705882352941,0.1739130434782609,17.0
429,0.0,0.0,0.0,18.0
430,0.8823529411764706,0.7894736842105263,0.8333333333333333,19.0
431,0.0,0.0,0.0,15.0
432,1.0,0.2,0.33333333333333337,20.0
433,0.0,0.0,0.0,21.0
434,0.0,0.0,0.0,27.0
435,0.8181818181818182,0.3333333333333333,0.4736842105263157,27.0
436,0.0,0.0,0.0,18.0
437,0.5,0.10526315789473684,0.17391304347826086,19.0
438,0.0,0.0,0.0,17.0
439,0.0,0.0,0.0,16.0
440,0.0,0.0,0.0,16.0
441,0.0,0.0,0.0,15.0
442,0.95,0.7916666666666666,0.8636363636363635,24.0
443,0.7619047619047619,0.8421052631578947,0.8,19.0
444,0.0,0.0,0.0,18.0
445,0.3333333333333333,0.06666666666666667,0.1111111111111111,15.0
446,0.3333333333333333,0.045454545454545456,0.08,22.0
447,0.52,0.65,0.5777777777777778,20.0
448,0.0,0.0,0.0,15.0
449,0.8125,0.7222222222222222,0.7647058823529411,18.0
450,0.6470588235294118,0.4782608695652174,0.55,23.0
451,0.0,0.0,0.0,18.0
